"","review_score","review_count","review_distinct_scores","first_review_score","last_review_score","has_multiple_reviews","has_mixed_review_scores","delivery_days","delivery_gap","customer_zip_code_prefix","num_items","num_products","price","freight_value","product_photos_qty","product_weight_g","num_distinct_categories","primary_category_share","num_sellers","primary_seller_zip_code_prefix","primary_seller_share","payment_installments","payment_value","total_value","price_above_mean","delivery_delayed","delivery_early"
"review_score",1,-0.001,-0.025,0.998,0.998,0,-0.025,-0.334,-0.261,-0.022,-0.124,-0.106,-0.035,-0.09,0.014,-0.029,-0.037,0.076,-0.117,0.024,0.116,-0.031,-0.042,-0.042,-0.042,-0.392,0.337
"review_count",-0.001,1,0.568,0.003,-0.003,0.996,0.568,0.006,-0.007,0.001,0.011,0.02,-0.012,-0.005,-0.025,-0.01,0.007,-0.009,0.006,0,-0.006,0.017,-0.012,-0.012,-0.013,-0.007,0.006
"review_distinct_scores",-0.025,0.568,1,-0.02,-0.03,0.567,1,0.011,0.002,0,0.019,0.019,-0.006,0.003,-0.016,-0.005,0.011,-0.017,0.016,-0.003,-0.017,0.013,-0.005,-0.005,-0.001,-0.001,-0.002
"first_review_score",0.998,0.003,-0.02,1,0.997,0.003,-0.02,-0.334,-0.261,-0.022,-0.123,-0.106,-0.035,-0.09,0.014,-0.029,-0.037,0.075,-0.117,0.024,0.116,-0.031,-0.042,-0.042,-0.043,-0.392,0.337
"last_review_score",0.998,-0.003,-0.03,0.997,1,-0.003,-0.03,-0.334,-0.262,-0.022,-0.122,-0.105,-0.034,-0.09,0.014,-0.029,-0.036,0.075,-0.116,0.025,0.115,-0.031,-0.042,-0.042,-0.042,-0.392,0.337
"has_multiple_reviews",0,0.996,0.567,0.003,-0.003,1,0.567,0.006,-0.006,0.001,0.01,0.02,-0.012,-0.005,-0.025,-0.01,0.007,-0.009,0.006,0,-0.005,0.018,-0.012,-0.012,-0.013,-0.007,0.006
"has_mixed_review_scores",-0.025,0.568,1,-0.02,-0.03,0.567,1,0.011,0.002,0,0.019,0.019,-0.006,0.003,-0.016,-0.005,0.011,-0.017,0.016,-0.003,-0.017,0.013,-0.005,-0.005,-0.001,-0.001,-0.002
"delivery_days",-0.334,0.006,0.011,-0.334,-0.334,0.006,0.011,1,0.595,0.273,-0.02,-0.031,0.055,0.167,-0.027,0.08,-0.019,0.027,-0.041,0.048,0.041,0.052,0.069,0.069,0.071,0.601,-0.567
"delivery_gap",-0.261,-0.007,0.002,-0.261,-0.262,-0.006,0.002,0.595,1,-0.076,-0.032,-0.049,-0.015,-0.052,0.004,0.01,-0.029,0.037,-0.059,-0.12,0.058,-0.033,-0.02,-0.02,-0.02,0.577,-0.598
"customer_zip_code_prefix",-0.022,0.001,0,-0.022,-0.022,0.001,0,0.273,-0.076,1,-0.004,-0.009,0.041,0.187,0.02,0.002,-0.002,0,-0.001,0.075,0.002,0.056,0.058,0.058,0.041,0.029,-0.016
"num_items",-0.124,0.011,0.019,-0.123,-0.122,0.01,0.019,-0.02,-0.032,-0.004,1,0.477,0.153,0.438,-0.049,-0.004,0.134,-0.197,0.287,-0.014,-0.255,0.069,0.19,0.19,0.155,-0.016,0.019
"num_products",-0.106,0.02,0.019,-0.106,-0.105,0.02,0.019,-0.031,-0.049,-0.009,0.477,1,0.064,0.198,-0.027,-0.016,0.274,-0.425,0.596,-0.008,-0.558,0.073,0.081,0.081,0.103,-0.023,0.023
"price",-0.035,-0.012,-0.006,-0.035,-0.034,-0.012,-0.006,0.055,-0.015,0.041,0.153,0.064,1,0.41,0.035,0.334,0.024,-0.029,0.043,0.082,-0.039,0.315,0.996,0.996,0.542,0.016,-0.01
"freight_value",-0.09,-0.005,0.003,-0.09,-0.09,-0.005,0.003,0.167,-0.052,0.187,0.438,0.198,0.41,1,-0.006,0.502,0.077,-0.096,0.133,0.118,-0.122,0.199,0.491,0.491,0.324,0.03,-0.015
"product_photos_qty",0.014,-0.025,-0.016,0.014,0.014,-0.025,-0.016,-0.027,0.004,0.02,-0.049,-0.027,0.035,-0.006,1,0.029,0.009,0.005,-0.016,-0.045,0.015,0.004,0.033,0.033,0.003,-0.007,0.003
"product_weight_g",-0.029,-0.01,-0.005,-0.029,-0.029,-0.01,-0.005,0.08,0.01,0.002,-0.004,-0.016,0.334,0.502,0.029,1,0.011,0,-0.007,0.017,0.006,0.198,0.369,0.369,0.328,0.026,-0.019
"num_distinct_categories",-0.037,0.007,0.011,-0.037,-0.036,0.007,0.011,-0.019,-0.029,-0.002,0.134,0.274,0.024,0.077,0.009,0.011,1,-0.577,0.367,0.014,-0.36,0.04,0.031,0.031,0.042,-0.012,0.015
"primary_category_share",0.076,-0.009,-0.017,0.075,0.075,-0.009,-0.017,0.027,0.037,0,-0.197,-0.425,-0.029,-0.096,0.005,0,-0.577,1,-0.572,0.003,0.591,-0.044,-0.037,-0.037,-0.056,0.015,-0.019
"num_sellers",-0.117,0.006,0.016,-0.117,-0.116,0.006,0.016,-0.041,-0.059,-0.001,0.287,0.596,0.043,0.133,-0.016,-0.007,0.367,-0.572,1,0.003,-0.972,0.063,0.054,0.054,0.079,-0.026,0.029
"primary_seller_zip_code_prefix",0.024,0,-0.003,0.024,0.025,0,-0.003,0.048,-0.12,0.075,-0.014,-0.008,0.082,0.118,-0.045,0.017,0.014,0.003,0.003,1,-0.003,0.046,0.09,0.09,0.099,-0.033,0.041
"primary_seller_share",0.116,-0.006,-0.017,0.116,0.115,-0.005,-0.017,0.041,0.058,0.002,-0.255,-0.558,-0.039,-0.122,0.015,0.006,-0.36,0.591,-0.972,-0.003,1,-0.06,-0.05,-0.05,-0.076,0.026,-0.029
"payment_installments",-0.031,0.017,0.013,-0.031,-0.031,0.018,0.013,0.052,-0.033,0.056,0.069,0.073,0.315,0.199,0.004,0.198,0.04,-0.044,0.063,0.046,-0.06,1,0.321,0.321,0.333,0.012,0
"payment_value",-0.042,-0.012,-0.005,-0.042,-0.042,-0.012,-0.005,0.069,-0.02,0.058,0.19,0.081,0.996,0.491,0.033,0.369,0.031,-0.037,0.054,0.09,-0.05,0.321,1,1,0.55,0.018,-0.011
"total_value",-0.042,-0.012,-0.005,-0.042,-0.042,-0.012,-0.005,0.069,-0.02,0.058,0.19,0.081,0.996,0.491,0.033,0.369,0.031,-0.037,0.054,0.09,-0.05,0.321,1,1,0.55,0.018,-0.011
"price_above_mean",-0.042,-0.013,-0.001,-0.043,-0.042,-0.013,-0.001,0.071,-0.02,0.041,0.155,0.103,0.542,0.324,0.003,0.328,0.042,-0.056,0.079,0.099,-0.076,0.333,0.55,0.55,1,0.019,-0.013
"delivery_delayed",-0.392,-0.007,-0.001,-0.392,-0.392,-0.007,-0.001,0.601,0.577,0.029,-0.016,-0.023,0.016,0.03,-0.007,0.026,-0.012,0.015,-0.026,-0.033,0.026,0.012,0.018,0.018,0.019,1,-0.824
"delivery_early",0.337,0.006,-0.002,0.337,0.337,0.006,-0.002,-0.567,-0.598,-0.016,0.019,0.023,-0.01,-0.015,0.003,-0.019,0.015,-0.019,0.029,0.041,-0.029,0,-0.011,-0.011,-0.013,-0.824,1
